post_timestamp,post_title,post_content,Lap_Label,LapNumber
2024-05-19 22:05:10,노잼각 씨게 보이노 ㅋㅋ,ㅋㅋ,2,2.0
2024-05-19 22:05:17,다봤노ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,2,2.0
2024-05-19 22:05:18,오늘 F1 재미있었다,막스 우승 축하한다,2,2.0
2024-05-19 22:05:20,레이스 다봤노,,2,2.0
2024-05-19 22:05:21,멕라렌 팬인데 그냥 씻고 올까,"ㅇㅇ
- dc official App",2,2.0
2024-05-19 22:05:22,자러간다ㅋㅋ,,2,2.0
2024-05-19 22:05:25,자러가도 될듯 ㅋㅋ,어우막 발동,2,2.0
2024-05-19 22:05:25,아 노잼,왜 노사고?,2,2.0
2024-05-19 22:05:23,오늘 레이스 요약 떴냐?,아제발,2,2.0
2024-05-19 22:05:30,1초차 안나는거 같은데,,2,2.0
2024-05-19 22:05:33,엪갤 일동은 이몰라 그랑프리 경기종료를 선언합니다,어우막 ㅅㅂ,2,2.0
2024-05-19 22:05:37,RB 쌍으로 -2..,,2,2.0
2024-05-19 22:05:29,봐바 다들 안전운전함 ㅇㅇ,ㅇㅅㅇ,2,2.0
2024-05-19 22:05:37,이제 체코신의 추월쇼 보면 되는거냐??,역시 추월은 체코신 ㅋㅋ,2,2.0
2024-05-19 22:05:38,RB 스타트 ㅈ망했네 ㅋㅋ,ㅋㅋㅋㅋ,2,2.0
2024-05-19 22:05:39,대헐크 ㅋㅋㅋㅋㅋㅋㅋ,,2,2.0
2024-05-19 22:05:45,아이고 유키야...,"그걸 내려오네
- dc official App",2,2.0
2024-05-19 22:05:48,rb둘다 ㅋㅋ,레라이,2,2.0
2024-05-19 22:05:48,완장은 빨리 다음 그랑프리 일정 올려라,모나코? 에라이 시발..,2,2.0
2024-05-19 22:05:50,헐크 진짜 폼 괜찮네,,2,2.0
2024-05-19 22:05:52,딸깍쇼 스타트 ㅋㅋㅋ,,2,2.0
2024-05-19 22:05:53,헐크 2위상승ㅅㅅ,헐크 포인트 가즈아,2,2.0
2024-05-19 22:05:56,이제 체코신의 딸깍쇼만 보면 된다,,2,2.0
2024-05-19 22:05:56,막스 고마운점,출근충들을 위해 변수 없이 첫랩 1등해줌,2,2.0
2024-05-19 22:05:56,포디움은 저순위 그대로겠노,...,2,2.0
2024-05-19 22:06:04,하위권특) 퀄리잘해도 스타트ㅈ망함,ㄹㅇㅋㅋ,2,2.0
2024-05-19 22:06:05,하스 쌍으로 +2,,2,2.0
