post_timestamp,post_title,post_content,Lap_Label,LapNumber
2024-07-08 00:03:41,러셀 리타이어 이유 뭐임?,"못본 사이에 리타이어했네
- dc official App",39,39.0
2024-07-08 00:03:43,미움받을 용기는 누가 먼저 내려나,,39,39.0
2024-07-08 00:03:46,물탕이 빠르다 빨라,- dc official App,39,39.0
2024-07-08 00:03:48,사인지 뭐하냐 이러니 짤리지,ㅈ,39,39.0
2024-07-08 00:03:51,사인즈는 언제 12초나 벌어졌노,?,39,39.0
2024-07-08 00:03:54,막스도 쫒아오는데?,오,39,39.0
2024-07-08 00:03:56,섹터별 기록 모두 막스가 1등이다,가자ㅋㅋㅋㅋㅋ,39,39.0
2024-07-08 00:03:57,슬슬 노면 말라가놐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,39,39.0
2024-07-08 00:04:01,쥬지 탈락은 좀 아쉬운게,"영국 향우회 3인방 포디움 보고싶었음
- dc official App",39,39.0
2024-07-08 00:04:05,르끌 걍 슬릭타이어 언더컷하자 ㅋㅋㅋㅋㅋㅋ,어차피 ㅈ박았는데 도박해도 모름ㅋㅋㅋㅋ,39,39.0
2024-07-08 00:04:08,트랙에 허연부분 보이기 시작,,39,39.0
2024-07-08 00:04:16,물탕이 전에 인터 갈아서 슬릭 만들어 쓴 경기 있지않나?,인터로 경기 끝났는데 완전 슬릭되어있었는데 언제였지,39,39.0
2024-07-08 00:04:21,막스 줄이고 있노ㅋㅋㅋㅋㅋㅋ,,39,39.0
2024-07-08 00:04:28,햄막대전 드가자 ㅋㅋㅋ,ㅅㅇㅂㅈㅇㅋㅋ,39,39.0
2024-07-08 00:04:32,카도 들어가네,,39,39.0
2024-07-08 00:04:33,몽골 5초 입갤~,또 왜 빨라지노,39,39.0
2024-07-08 00:04:41,쥬지 이거네,차샌물샌,39,39.0
2024-07-08 00:04:42,쇼부다,ㄷㄷㄷㄷ,39,39.0
2024-07-08 00:04:42,피아제 아가리 하라 입갤 ㅋㅋ,,39,39.0
2024-07-08 00:04:43,소프트 입갤 ㅋㅋㅋㅋㅋ,,39,39.0
2024-07-08 00:04:44,마그누센 마루타ㅋㅋㅋㅋㅋㅋ,,39,39.0
2024-07-08 00:04:47,마루타 입갤ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,".,",39,39.0
2024-07-08 00:04:47,마루타 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,39,39.0
2024-07-08 00:04:47,소프트 입갤 ㅋㅋ,,39,39.0
2024-07-08 00:04:47,어 물탕이 들어간다,,39,39.0
2024-07-08 00:04:49,마루타 입갤 ㅋㅋㅋㅋㅋㅋㅋ,,39,39.0
2024-07-08 00:04:49,시작이다 시작이다 슬릭 시작이다,- dc official App,39,39.0
2024-07-08 00:04:50,마루타ㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋ,39,39.0
2024-07-08 00:04:51,좆그누센 도박 ON ㅋㅋ,"ㅋㅋ
- dc official App",39,39.0
2024-07-08 00:04:51,대밀턴 슬릭 입갤ㅋㅋㅋㅋ,- dc official App,39,39.0
2024-07-08 00:04:51,와 소프트 소프트,,39,39.0
2024-07-08 00:04:51,빅팀은 4개인데 왜 선두권엔 5명이죠?,전 모르겠네요~~~,39,39.0
2024-07-08 00:04:52,핏레인이 ㅈㄴ 미끄럽노,,39,39.0
2024-07-08 00:04:53,마루타 ㅋㅋㅋㅋㅋ,,39,39.0
2024-07-08 00:04:54,마루타 ㅋㅋㅋㅋㅋ,,39,39.0
2024-07-08 00:04:56,마루타 ㅋㅋㅋㅋㅋ,- dc official App,39,39.0
2024-07-08 00:04:59,피아제 짜증 ㅋㅋㅋㅋ,ㅋㅋㅋㅋ,39,39.0
2024-07-08 00:04:59,마 ㅋㅋㅋㅋㅋ,"ㅋㅋ
- dc official App",39,39.0
2024-07-08 00:04:59,몽골 엔지니어 질문 졸라 게이스럽게 하네,ㅋ,39,39.0
2024-07-08 00:04:59,공식에서 마루타라고 해도 됨? ㅋㅋㅋㅋ,,39,39.0
2024-07-08 00:05:02,마그누센 포인트권 드걜려고 도박하놐ㅋㅋㅋ,,39,39.0
2024-07-08 00:05:03,마루타 ㅅㅂㅋㅋㅋㅋ,단어선택 ㅈㄴ무섭네,39,39.0
2024-07-08 00:05:03,케로좆됐네,말 실수했노,39,39.0
2024-07-08 00:05:04,개꿀잼 ㅋㅋㅋㅋ,ㅋㅋ,39,39.0
2024-07-08 00:05:05,케로 마루타 ㅇㅈㄹ하노,"??
- dc official App",39,39.0
2024-07-08 00:05:06,노리스는 왜안들어갔노,엄,39,39.0
2024-07-08 00:05:06,물탕이 ㅅㅂ 왜 도박치냐,- dc official App,39,39.0
2024-07-08 00:05:08,마루타라고 해도 되는거냐...?,괜찮겠지..?,39,39.0
2024-07-08 00:05:08,아니 자우버는 그와중에 4.7이노 ㄴㅋㅋ,,39,39.0
2024-07-08 00:05:09,도박가즈아,ㅇㅇㄴㅇ,39,39.0
2024-07-08 00:05:10,마루타?ㄷㄷ,- dc official App,39,39.0
2024-07-08 00:05:10,마루타는 시발 ㅋㅋㅋㅋㅋㅋㅋ,- dc official App,39,39.0
2024-07-08 00:05:13,보타스 4.7 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,39,39.0
2024-07-08 00:05:15,자우버 씨발 진짜 미쳤냐고 4.7ㅋㅋㅋㅋ,,39,39.0
2024-07-08 00:05:15,물탕 소프트,오,39,39.0
2024-07-08 00:05:16,케로 마루타 발언ㄷㄷㄷㄷㄷㄷㄷㄷ,,39,39.0
2024-07-08 00:05:17,막스 드챔 확정이라 편하게 보는 몽골견은 개추,어어 그래 5~10위만 계속해도 드챔이야 열심히해,39,39.0
2024-07-08 00:05:19,병장님 11등 먼데,말년버프 씨게 받네,39,39.0
2024-07-08 00:05:20,마루타라는 말 써도 되노? ㅋㅋ,"ㅋㅋㅋㅋㅋㅋ
- dc official App",39,39.0
2024-07-08 00:05:20,2.2ㄷㄷ,- dc official App,39,39.0
2024-07-08 00:05:21,핏레인 출구에서 사고나면 어캄?,"레드플렉인가
- dc official App",39,39.0
2024-07-08 00:05:23,케로햄 공식중계에서 마루타는 ㅋㅋㅋㅋ,ㅋㅋㅋㅋ,40,40.0
2024-07-08 00:05:22,하드??,,39,39.0
2024-07-08 00:05:23,피트인 정모하노,ㅋㅋ,40,40.0
2024-07-08 00:05:23,막스 하드 ㅋㅋㅋㅋㅋㅋㅋㅋ,,40,40.0
2024-07-08 00:05:24,케로선생님 마루타가 뭡니까 마루타가,아옼ㅋㅋㅋㅋㅋㅋㅋㅋ,40,40.0
2024-07-08 00:05:25,짤리면 안된다...,제발...,40,40.0
2024-07-08 00:05:25,시발 ㅋㅋ 난상관없는데 말실수했노케로,,40,40.0
2024-07-08 00:05:27,오..하드,- dc official App,40,40.0
2024-07-08 00:05:29,자우버는 ㅅㅂ ㅋㅋㅋㅋ,,40,40.0
2024-07-08 00:05:32,마루타 발언 이제 불편충들 달려든다 ㄹㅇㅋㅋㅋㅋㅋㅋ,- dc official App,40,40.0
2024-07-08 00:05:32,햄 소프트 막스 하드 ㅋㅋㅋㅋㅋ,,40,40.0
2024-07-08 00:05:32,야 페라리 개새끼들아 핏스탑해,"한나눈나 따라가라고
- dc official App",40,40.0
2024-07-08 00:05:37,보타스 인터 조금만 더썼으면 슬릭 만들었겠는데 ㅋㅋ?,"4초는 시발아
- dc official App",40,40.0
2024-07-08 00:05:38,몽골 하드 도박 ㅋㅋ,ㅋ,40,40.0
2024-07-08 00:05:38,케로 마루타 비유해서 채팅 난리났네,ㅋㅋㅋ,40,40.0
2024-07-08 00:05:39,케로 ‘친일’ 논란ㅋㅋㅋㅋㅋㅋ,,40,40.0
2024-07-08 00:05:42,소미하 다 나왔노 ㅡㅋㅋㅋㅋㅋ,진짜 모르겟다 이번경기는,40,40.0
2024-07-08 00:05:42,몽골 딱딱해졌노 ㅋㅋ,ㅋㅋㅋ,40,40.0
2024-07-08 00:05:42,하드는 뭐야,- dc official App,40,40.0
2024-07-08 00:05:45,경 소프트 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,40,40.0
2024-07-08 00:05:45,맥라렌 씨발 니네 다음 레이스까지 더블스택 연습해와라,,40,40.0
2024-07-08 00:05:47,자우버는 시발 한결같노,어휴,40,40.0
2024-07-08 00:05:50,아니 하드를끼네ㅋㅋㅋ,"뭐노
- dc official App",40,40.0
