post_timestamp,post_title,post_content
2024-04-07 14:05:19,윌 이제 차 없음 ㅋㅋㅋㅋ,ㅂㅅ팀
2024-04-07 14:05:19,시작하자마자 레드 플래그 ㅋㅋㅋㅋㅋㅋㅋㅋ,
2024-04-07 14:05:19,바로 레드 ㄷㄷ,"다시 시작 ㅋㅋ
- dc official App"
2024-04-07 14:05:20,레드플랙 ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,
2024-04-07 14:05:20,레드플랙ㅋㅋㅋㅋㅋ,- dc official App
2024-04-07 14:05:22,레드ㅋㅋㅋㅋ,ㅇㅇ
2024-04-07 14:05:21,아니 뭘했길래 레드냐 근데,- dc official App
2024-04-07 14:05:23,ㅋㅋ ㅋㅋ 바로 레드,
2024-04-07 14:05:23,쿠팡이 또..,ㅋㅋㅋㅋ
2024-04-07 14:05:22,대런 박살ㅋㅋㅋㅋ,- dc official App
2024-04-07 14:05:27,레드플랙 안나올수가 없네 ㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋ
2024-04-07 14:05:28,ㅈ카도 똠양꿍 아웃,- dc official App
2024-04-07 14:05:28,좆카도는 리암한태 자리 넘겨라,ㅈ병신 ㅌㅋ
2024-04-07 14:05:21,아오 대런시치,ㅋㅋㅋㅋ
2024-04-07 14:05:30,좆카도,ㅋㅋ
2024-04-07 14:05:31,좆카도 꺼져ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
2024-04-07 14:05:32,알본갔다 다음은 누구냐,엌ㅋㅋㅋㅋㅋㅋㅋ
2024-04-07 14:05:32,아보카도 ㅈ망했네 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋ,
2024-04-07 14:05:34,바로 레드 ㅋㅋㅋ,카
2024-04-07 14:05:34,아 뒤지지 씨발,ㄲㅂ
2024-04-07 14:05:39,드르렁..,
2024-04-07 14:05:40,일단 알본 보냈고,- dc official App
2024-04-07 14:05:41,따봉입갤 ㅋㅋ,ㅋㅋ
2024-04-07 14:05:41,이제 카도맘 포기다,"ㅅㅂㅋㅋ
- dc official App"
2024-04-07 14:05:41,‼+‼+병 신‼+‼+,
2024-04-07 14:05:42,안 다쳐서 다행이네,"좋다
- dc official App"
2024-04-07 14:05:42,퇴물,대런
