post_timestamp,post_title,post_content,Lap_Label,LapNumber,combined_raw_text,processed_text,Toxicity_Score
2024-12-08 22:06:04,페레즈진짜 웃음벨이네 시발 ㅋㅋㅋ,"ㅋㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋ",2,2.0,"페레즈진짜 웃음벨이네 시발 ㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋ",페레즈진짜 웃음벨이네 시발 ㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋ,0.9546635150909424
2024-12-08 22:06:06,막스 막스 막스 슈퍼 막스 막스 슈퍼 슈퍼,ㅅㅅㅅㅅ,2,2.0,막스 막스 막스 슈퍼 막스 막스 슈퍼 슈퍼 ㅅㅅㅅㅅ,막스 막스 막스 슈퍼 막스 막스 슈퍼 슈퍼 ㅅㅅㅅㅅ,0.6108769774436951
2024-12-08 22:06:06,vsc,ㅇㅇ,2,2.0,vsc ㅇㅇ,vsc ㅇㅇ,0.15299560129642487
2024-12-08 22:06:07,컨챔 경쟁 정상화는 대막스ㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋ,2,2.0,컨챔 경쟁 정상화는 대막스ㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋ,컨챔 경쟁 정상화는 대막스ㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋ,0.12203030288219452
2024-12-08 22:06:06,노리스 안담구면 지지않나,40포인트차인데 1등하면,2,2.0,노리스 안담구면 지지않나 40포인트차인데 1등하면,노리스 안담구면 지지않나 40포인트차인데 1등하면,0.2419816106557846
2024-12-08 22:06:08,또 또 또 티포시 희망고문 하네,그래도 너넨 안된다구,2,2.0,또 또 또 티포시 희망고문 하네 그래도 너넨 안된다구,또 또 또 티포시 희망고문 하네 그래도 너넨 안된다구,0.9219982028007507
2024-12-08 22:06:08,싱크로스핀 ㅋㅋ,,2,2.0,싱크로스핀 ㅋㅋ ,싱크로스핀 ㅋㅋ,0.19747698307037354
2024-12-08 22:06:09,씨이발 페라리 가자!!!!!,노리스만 잡아라,2,2.0,씨이발 페라리 가자!!!!! 노리스만 잡아라,씨이발 페라리 가자!!!!! 노리스만 잡아라,0.7101438045501709
2024-12-08 22:06:10,몽골 트랙션 잡는거 존나 스무스하노,,2,2.0,몽골 트랙션 잡는거 존나 스무스하노 ,몽골 트랙션 잡는거 존나 스무스하노,0.29172974824905396
2024-12-08 22:06:11,체코 ㅋㅋㅋㅋㅋ,,2,2.0,체코 ㅋㅋㅋㅋㅋ ,체코 ㅋㅋㅋㅋㅋ,0.8673458099365234
2024-12-08 22:06:12,경한테는 안되네 역시,ㅇㅇ,2,2.0,경한테는 안되네 역시 ㅇㅇ,경한테는 안되네 역시 ㅇㅇ,0.7112410664558411
2024-12-08 22:06:12,체코신 사망ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,2,2.0,체코신 사망ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,체코신 사망ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.6492329835891724
2024-12-08 22:06:11,왜 또 옐로,,2,2.0,왜 또 옐로 ,왜 또 옐로,0.5262380242347717
2024-12-08 22:06:12,페레즈 사망ㅋㅋㅋㅋㅋㅋ,,2,2.0,페레즈 사망ㅋㅋㅋㅋㅋㅋ ,페레즈 사망ㅋㅋㅋㅋㅋㅋ,0.79932701587677
2024-12-08 22:06:12,레즈야 너는 왜,,2,2.0,레즈야 너는 왜 ,레즈야 너는 왜,0.9526935815811157
2024-12-08 22:06:13,체코 ㅈ망ㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋ,2,2.0,체코 ㅈ망ㅋㅋㅋㅋㅋㅋ ㅋㅋㅋ,체코 ㅈ망ㅋㅋㅋㅋㅋㅋ ㅋㅋㅋ,0.9111040830612183
2024-12-08 22:06:13,병신사망ㅋㅋㅋ,ㅋㅋㅋㅋ,2,2.0,병신사망ㅋㅋㅋ ㅋㅋㅋㅋ,병신사망ㅋㅋㅋ ㅋㅋㅋㅋ,0.8403375148773193
2024-12-08 22:06:13,병신 ㅋㅋㅋㅋ,ㅋㅋ,2,2.0,병신 ㅋㅋㅋㅋ ㅋㅋ,병신 ㅋㅋㅋㅋ ㅋㅋ,0.6758258938789368
2024-12-08 22:06:13,병신 시발 ㅋㅋㅋㅋㅋㅋㅋㅋ,,2,2.0,병신 시발 ㅋㅋㅋㅋㅋㅋㅋㅋ ,병신 시발 ㅋㅋㅋㅋㅋㅋㅋㅋ,0.7327988743782043
2024-12-08 22:06:14,병신 병신 ㅋㅋㅋㅋㅋㅋㅋ,,2,2.0,병신 병신 ㅋㅋㅋㅋㅋㅋㅋ ,병신 병신 ㅋㅋㅋㅋㅋㅋㅋ,0.6541361808776855
