post_timestamp,post_title,post_content
2024-09-01 22:04:42,쥬지사망ㅋㅋㅋㅋㅋㅋ,
2024-09-01 22:04:42,쥬지사망 ㅋㅋㅋㅋㅋ,
2024-09-01 22:04:42,피자 아웃 ㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2024-09-01 22:04:42,쥬지 미끌 ㄴㅋㅋㅋㅋㄴ,
2024-09-01 22:04:42,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋ
2024-09-01 22:04:42,씨발 대리스 스타트 대호황ㅋㅋㅋㅋㅋ,
2024-09-01 22:04:43,쥬지 개좆븅신아..,애미
2024-09-01 22:04:46,쥬지 뭐해,
2024-09-01 22:04:46,노리스 따잇ㅋㅋㅋ,"피아제 선두 ㅋㅋㅋ
- dc official App"
2024-09-01 22:04:47,왜 쥬지가 사망하노ㅜㅜ,"ㅋㅋㅋ
- dc official App"
2024-09-01 22:04:46,아씨발,
2024-09-01 22:04:48,쥬지 시작 1초만에 사망,"밀렸다 이기
- dc official App"
2024-09-01 22:04:50,노리스 따잇ㅋㅋㅋㅋ,ㅋㅋㅋㅋ
2024-09-01 22:04:50,대 아 제,
2024-09-01 22:04:52,대아제ㅋㅋㅋㅋ,ㅋㅋㅋ
2024-09-01 22:04:52,대아제 ㅅㅅㅅㅅㅅㅅㅅㅅㅅ,ㅅㅅㅅㅅㅅㅅㅅㅅ
2024-09-01 22:04:52,좆리스 ㅋㅋㅋㅋ,
2024-09-01 22:04:53,페라리 순위 상승 ㅅㅅㅅㅅㅅㅅㅅ,ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ
2024-09-01 22:04:53,좆병신무관딱 ㅋㅋㅋㅋ,
2024-09-01 22:04:53,쥬지 꼬라박ㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋ
2024-09-01 22:04:54,쥬지 ㅆㅂㅋㅋㅋㅋㅋㅋ,"ㅇ
- dc official App"
2024-09-01 22:04:54,뭐해 이 병신들아,
2024-09-01 22:04:54,와 피아제 미친놈인가 ㄹㅇ,- dc official App
2024-09-01 22:04:54,대 아 제,
2024-09-01 22:04:55,노리스 2위 ㅋㅋㅋ,ㅋㅋㅋㅋ
2024-09-01 22:04:55,대 아 제,
2024-09-01 22:04:55,피아제 미끌레 떡상 ㅋㅋㅋ,
2024-09-01 22:04:56,노리스 스타트 ㅋㅋㅋㅋㅋㅋㅋ,
2024-09-01 22:04:56,누리스 따잇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
