post_timestamp,post_title,post_content,Lap_Label,LapNumber
2024-12-02 01:05:13,콜라 몇개를 부숴먹노 ㅋㅋㅋㅋㅋ,ㅋㅋ,1,1.0
2024-12-02 01:05:12,막스 스타트 진짜 개미친새기네,와,1,1.0
2024-12-02 01:05:13,아니 오콘 리타 뭐임,아오,1,1.0
2024-12-02 01:05:13,대 콜 라 셒카 ㅅㅅㅅㅅㅅㅅㅅ,,1,1.0
2024-12-02 01:05:14,콜라 머여,또?,1,1.0
2024-12-02 01:05:15,콜라사망 ㅋㅋㅋㅋㅋㅋ,ㅋㅋ,1,1.0
2024-12-02 01:05:15,■■■ 콜라핀토 솔직히 좆거품 병신 아님?,,1,1.0
2024-12-02 01:05:15,오콘 콜라 컷이네,아이고,1,1.0
2024-12-02 01:05:16,섹1 이전이면 리스타트아님?,레드같은데,1,1.0
2024-12-02 01:05:17,어어 두대야,,1,1.0
2024-12-02 01:05:17,윌리엄스 마지막 프론트윙은 콜라거 ㅋㅋㅋㅋㅋㅋ,,1,1.0
2024-12-02 01:05:17,윌리엄스 비상 ㅋㅋㅋㅋㅋㅋ,,1,1.0
2024-12-02 01:05:17,콜라 이놈은 내년에 절대못보겠노,ㅋㅋㅋㅋㅋㅋㅋㅋ,1,1.0
2024-12-02 01:05:18,한캐 폐활량 레전드네 ㅋㅋㅋㅋㅋ,5번코너까지 숨 안쉰거 아님? ㅋㅋㅋㅋㅋㅋ,1,1.0
2024-12-02 01:05:18,셒카 입갤 ㅋㅋ,- dc official App,1,1.0
2024-12-02 01:05:21,둘이 박아써ㆍ,,1,1.0
2024-12-02 01:05:22,윌리엄스 미캐닉 또 야근이야?,ㅋㅋㅋㅋㅋㅋㅋㅋ,1,1.0
2024-12-02 01:05:22,윌 비상ㅋㅋㅋㅋㅋㅋ,,1,1.0
2024-12-02 01:05:22,와 몽골 따이는줄 알앗는데 그걸 막네,"미친놈
- dc official App",1,1.0
2024-12-02 01:05:23,아이고 콜라야...,,1,1.0
2024-12-02 01:05:24,잼카 ㅋㅋㅋㅋㅋ,ㅋㅋㅋ,1,1.0
2024-12-02 01:05:25,그래도 프론트윙은 지켰노ㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋ,1,1.0
2024-12-02 01:05:25,셉카 기원했더니 바로 나오네,얼탱,1,1.0
2024-12-02 01:05:26,콜라 도대체 몇연속 리타냐 ㅋㅋㅋㅋ,어카냐 ㄹㅇ,1,1.0
2024-12-02 01:05:26,프론트 윙은 살아계시냐? ㅋㅋㅋ,ㅋㅋㅋㅋ,1,1.0
2024-12-02 01:05:26,윌사망ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,1,1.0
2024-12-02 01:05:27,콜라 이새끼는 안되겠다ㅋㅋㅋㅋ,,1,1.0
2024-12-02 01:05:27,프론트윙 멀쩡하냐??,- dc official App,1,1.0
2024-12-02 01:05:27,한캐 쩌는데?? ㅋㅋㅋㅋㅋ,,1,1.0
2024-12-02 01:05:27,킹황짱초극대노다 포인트권 입갤 ㅋㅋㅋㅋㅋㅋ,,1,1.0
2024-12-02 01:05:28,오콜라 사망ㅋㅋㅋㅋㅋㅋㅋ,- dc official App,1,1.0
2024-12-02 01:05:29,콜라핀토가 승리했노,"ㅋㅋㅋㅋ
- dc official App",1,1.0
2024-12-02 01:05:30,시작하자마자 세카뜨네,ㄷㄷ,1,1.0
2024-12-02 01:05:30,대노다 10위 ㅋㅋㅋㅋㅋㅋㅋ,,1,1.0
2024-12-02 01:05:30,오콘한테 충돌 패널티,,1,1.0
2024-12-02 01:05:30,메이렌더 출동ㅋㅋㅋㅋ,,1,1.0
2024-12-02 01:05:31,쥬지 2그리드 따잇 뭐노,,1,1.0
2024-12-02 01:05:32,윌리엄스 파산 ㅋㅋㅋㅋ,- dc official App,1,1.0
2024-12-02 01:05:33,콜라핀토 우짜노,요새 안좋네,1,1.0
2024-12-02 01:05:33,이러면 마지막 프론트윙은 콜라꺼?,엌ㅋㅋ,1,1.0
2024-12-02 01:05:37,콜라 쟨 볼때마다 차가 박살나있어,,1,1.0
2024-12-02 01:05:37,개판났노 ㅋㅋㅋ,,1,1.0
2024-12-02 01:05:38,RB 떡상 ㅋㅋ,,1,1.0
2024-12-02 01:05:38,윙은 괜찬은 거냐 윙은,"제발
- dc official App",1,1.0
2024-12-02 01:05:43,rb 싱글벙글 ㅋㅋㅋ,,1,1.0
2024-12-02 01:05:42,샌드위친가,,1,1.0
2024-12-02 01:05:46,RB 개떡상 ㅋㅋㅋㅋ,- dc official App,1,1.0
2024-12-02 01:05:46,무슨일이 있었던거야 ㅋㅋ,,1,1.0
2024-12-02 01:05:47,살아남은 rb의 승리네?,,1,1.0
2024-12-02 01:05:48,윌 이제 프런트윙 없다 ㅋㅋㅋㅋ,ㅋㅋㅋ,1,1.0
2024-12-02 01:05:48,윌의 마지막 프론트윙 주인 정해졌노 ㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,1.0
2024-12-02 01:05:49,아 새벽더늦게끝나겠내,,1,1.0
2024-12-02 01:05:51,아놔 헐크 빵꾸났네 시부랄거 ㅠ,,1,1.0
2024-12-02 01:05:51,헐크 바퀴 저게 왜 잘굴러감ㅣㄱㅋㅋㄱㄲ,"ㅋㅋㅋ
- dc official App",1,1.0
2024-12-02 01:05:51,니코 피트인 다행이네,ㄹㅇ,1,1.0
2024-12-02 01:05:52,콜라핀토 vs 사이다접은호날두,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,1.0
2024-12-02 01:05:52,하스 저건뭐노 ㅋㅋㅋ,ㅋㅋㅋㅋ,1,1.0
2024-12-02 01:05:53,그립읍니다 GOAT,- dc official App,1,1.0
2024-12-02 01:05:54,콜라 이새끼 왜이럼?,뱅장님 기운받았노 ㅋㅋ,1,1.0
2024-12-02 01:05:54,윌리엄스 프론트윙 다썼노ㅋㅋㅋㅋ,더 부수면 아부다비 레이스 못나오나,1,1.0
2024-12-02 01:05:54,아니 물탕이 뭐하노,- dc official App,1,1.0
